iter	Passed	Remaining
0	1	188
1	4	199
2	6	201
3	8	200
4	10	190
5	12	188
6	14	186
7	15	183
8	18	187
9	20	186
10	23	189
11	25	188
12	27	185
13	29	179
14	31	176
15	32	171
16	34	170
17	36	168
18	38	164
19	40	162
20	42	161
21	44	158
22	46	155
23	48	152
24	50	150
25	51	146
26	53	144
27	54	140
28	56	137
29	57	134
30	59	133
31	61	131
32	63	129
33	65	126
34	67	124
35	68	122
36	69	118
37	71	116
38	73	114
39	74	111
40	76	109
41	77	107
42	79	104
43	79	101
44	81	99
45	83	97
46	84	95
47	85	93
48	87	91
49	89	89
50	90	87
51	91	84
52	92	82
53	94	80
54	96	78
55	97	76
56	99	75
57	100	72
58	101	70
59	102	68
60	104	66
61	106	65
62	107	63
63	109	61
64	110	59
65	112	57
66	113	55
67	115	54
68	117	52
69	119	51
70	121	49
71	123	47
72	124	45
73	125	44
74	127	42
75	129	40
76	130	38
77	131	37
78	132	35
79	134	33
80	135	31
81	137	30
82	138	28
83	140	26
84	142	25
85	143	23
86	144	21
87	147	20
88	148	18
89	149	16
90	151	14
91	152	13
92	153	11
93	154	9
94	156	8
95	157	6
96	159	4
97	161	3
98	162	1
99	163	0
